chi,dp,coh,stab,rad,size,ratio
0.032258,140.54157600000008,1.5,17.584923,1.2,10,0.5
0.043478,940.4224170000001,1.5,13.007037,1.2,10,0.5
0.090909,451.134945,1.5,25.983128,1.2,10,0.5
0.05,495.28441399999997,1.5,29.505282,1.2,10,0.5
0.041667,514.025333,1.5,32.131945,1.2,10,0.5
0.04,435.4820950000001,1.5,27.016066,1.2,10,0.5
0.04,191.66896700000007,1.5,25.12641,1.2,10,0.5
0.03125,191.66896700000007,1.5,25.009356,1.2,10,0.5
0.047619,339.96464300000025,1.5,13.7897,1.2,10,0.5
0.047619,344.2899000000002,1.5,26.072562,1.2,10,0.5
0.027778,28651.347728000008,1.5,27.079638,1.2,10,0.5
0.027778,28651.347728000008,1.5,27.079638,1.2,10,0.5
0.027778,28651.347728000008,1.5,27.079638,1.2,10,0.5
0.027778,28651.347728000008,1.5,27.079638,1.2,10,0.5
0.016393,8366.457572,1.5,42.015057,1.2,10,0.5
0.016393,8366.457572,1.5,42.015057,1.2,10,0.5
0.125,589.727502,1.5,8.855251,1.2,10,0.5
0.017241,11373.10478400001,1.5,26.549254,1.2,10,0.5
0.017241,11373.10478400001,1.5,26.549254,1.2,10,0.5
0.018868,20979.966067,1.5,24.688278,1.2,10,0.5
0.018868,20979.966067,1.5,24.688278,1.2,10,0.5
0.071429,555.804492,1.5,11.781864,1.2,10,0.5
0.0625,995.6450510000004,1.5,26.884026,1.2,10,0.5
0.0625,995.6450510000004,1.5,26.884026,1.2,10,0.5
0.027778,140.26133600000003,1.5,24.31696,1.2,10,0.5
0.027778,140.26133600000003,1.5,24.31696,1.2,10,0.5
0.073171,115350.99983300001,1.5,41.925643,1.2,10,0.5
0.044444,110841.61471899999,1.5,23.275707,1.2,10,0.5
0.176471,65194.548212,1.5,21.498387,1.2,10,0.5
0.181818,110901.48478299999,1.5,27.683234,1.2,10,0.5
0.073171,115350.99983300001,1.5,41.925643,1.2,10,0.5
0.176471,65194.548212,1.5,21.498387,1.2,10,0.5
0.176471,65194.548212,1.5,21.498387,1.2,10,0.5
0.073171,115350.99983300001,1.5,41.925643,1.2,10,0.5
0.043478,145709.752983,1.5,23.537319,1.2,10,0.5
0.181818,110901.48478299999,1.5,27.683234,1.2,10,0.5
0.044444,110841.61471899999,1.5,23.275707,1.2,10,0.5
0.073171,115350.99983300001,1.5,41.925643,1.2,10,0.5
0.176471,65194.548212,1.5,21.498387,1.2,10,0.5
0.043478,145709.752983,1.5,23.537319,1.2,10,0.5
0.04,38.11349999999993,1.5,24.015217,1.2,10,0.5
0.04,252.14264100000014,1.5,28.021687,1.2,10,0.5
0.055556,1150.739058,1.5,25.851615,1.2,10,0.5
0.019231,1189.370858,1.5,18.908258,1.2,10,0.5
0.033333,1070.544188,1.5,14.683463,1.2,10,0.5
0.04,330.157567,1.5,28.439753,1.2,10,0.5
0.020833,1241.724169000001,1.5,25.787694,1.2,10,0.5
0.020833,1241.724169000001,1.5,25.787694,1.2,10,0.5
0.020408,622.9216159999996,1.5,27.74272,1.2,10,0.5
0.020408,622.9216159999996,1.5,27.74272,1.2,10,0.5
0.02,1416.3071170000003,1.5,28.381662,1.2,10,0.5
0.02,1416.3071170000003,1.5,28.381662,1.2,10,0.5
0.015625,98.56460499999957,1.5,32.949134,1.2,10,0.5
0.015625,98.56460499999957,1.5,32.949134,1.2,10,0.5
0.045455,1436.724982,1.5,18.909797,1.2,10,0.5
0.02439,213.0817770000001,1.5,22.030831,1.2,10,0.5
0.066667,2599.382752,1.5,12.864873,1.2,10,0.5
0.051282,1749.7455990000003,1.5,12.561153,1.2,10,0.5
0.035714,450.58141,1.5,18.57264,1.2,10,0.5
0.083333,1115.7639150000002,1.5,11.406734,1.2,10,0.5
0.025,1367.3489040000002,1.5,21.214633,1.2,10,0.5
0.030303,1472.8884670000002,1.5,13.940546,1.2,10,0.5
0.03125,1498.153156,1.5,18.194713,1.2,10,0.5
0.25641,10.93706700000007,1.5,12.807296,1.2,10,0.5
0.018519,1021.6739120000002,1.5,31.554882,1.2,10,0.5
0.018519,1021.6739120000002,1.5,31.554882,1.2,10,0.5
0.2,85.00723100000005,1.5,29.707988,1.2,10,0.5
0.2,85.00723100000005,1.5,29.707988,1.2,10,0.5
0.034483,346.7657609999999,1.5,21.391404,1.2,10,0.5
0.034483,753.7803630000001,1.5,22.785749,1.2,10,0.5
0.02439,541.900781,1.5,22.680626,1.2,10,0.5
0.111111,777.2699210000001,1.5,23.77023,1.2,10,0.5
0.111111,83.406429,1.5,15.194613,1.2,10,0.5
0.022727,294.6332309999998,1.5,41.86373,1.2,10,0.5
